@relation accData
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute label {A,B,C,D,E,F}
@data
500.0,393.0,310.0,348.0,253.0,322.0,A
500.0,392.0,309.0,348.0,252.0,323.0,A
500.0,393.0,310.0,348.0,252.0,322.0,A
500.0,394.0,311.0,348.0,252.0,322.0,A
500.0,393.0,310.0,348.0,252.0,322.0,A
500.0,392.0,311.0,348.0,252.0,321.0,A
500.0,393.0,310.0,348.0,253.0,322.0,A
500.0,393.0,309.0,348.0,251.0,321.0,A
500.0,394.0,310.0,348.0,253.0,321.0,A
500.0,393.0,310.0,348.0,253.0,322.0,A
500.0,393.0,310.0,349.0,251.0,321.0,A
500.0,393.0,310.0,348.0,252.0,321.0,A
500.0,393.0,311.0,348.0,252.0,322.0,A
500.0,393.0,310.0,348.0,252.0,322.0,A
500.0,393.0,310.0,348.0,252.0,321.0,A
500.0,392.0,310.0,347.0,252.0,321.0,A
500.0,393.0,309.0,348.0,252.0,323.0,A
500.0,392.0,310.0,348.0,252.0,322.0,A
500.0,393.0,310.0,348.0,253.0,323.0,A
500.0,393.0,310.0,348.0,252.0,322.0,A
500.0,393.0,310.0,348.0,253.0,322.0,A
500.0,392.0,310.0,348.0,253.0,322.0,A
500.0,393.0,311.0,349.0,252.0,322.0,A
500.0,393.0,309.0,348.0,252.0,320.0,A
500.0,393.0,309.0,348.0,253.0,321.0,A
500.0,393.0,310.0,347.0,253.0,321.0,A
500.0,393.0,309.0,348.0,253.0,321.0,A
500.0,392.0,310.0,348.0,253.0,320.0,A
500.0,393.0,309.0,348.0,253.0,321.0,A
500.0,392.0,310.0,348.0,253.0,320.0,A
500.0,392.0,310.0,348.0,253.0,320.0,A
500.0,393.0,310.0,348.0,252.0,321.0,A
500.0,393.0,309.0,348.0,252.0,323.0,A
500.0,393.0,310.0,348.0,253.0,322.0,A
500.0,393.0,309.0,349.0,253.0,321.0,A
500.0,392.0,310.0,348.0,252.0,321.0,A
500.0,394.0,308.0,348.0,253.0,322.0,A
500.0,393.0,309.0,348.0,253.0,322.0,A
500.0,392.0,309.0,349.0,253.0,322.0,A
500.0,392.0,309.0,348.0,252.0,321.0,A
500.0,393.0,310.0,348.0,253.0,322.0,A
500.0,393.0,310.0,347.0,252.0,322.0,A
