@relation Acc_Data_compiled
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute label {A,B,C,D,E}
@data
362.0,278.0,304.0,377.0,220.0,249.0,A
362.0,279.0,305.0,375.0,221.0,249.0,A
361.0,279.0,305.0,376.0,220.0,248.0,A
361.0,280.0,304.0,375.0,221.0,249.0,A
361.0,279.0,303.0,375.0,220.0,248.0,A
362.0,279.0,301.0,375.0,220.0,249.0,A
361.0,279.0,302.0,375.0,220.0,249.0,A
362.0,280.0,303.0,374.0,221.0,250.0,A
363.0,280.0,301.0,375.0,221.0,249.0,A
362.0,280.0,302.0,376.0,220.0,249.0,A
363.0,280.0,302.0,375.0,220.0,249.0,A
363.0,280.0,303.0,375.0,221.0,247.0,A
362.0,279.0,301.0,375.0,221.0,247.0,A
363.0,280.0,302.0,373.0,223.0,249.0,A
363.0,280.0,302.0,374.0,222.0,249.0,A
364.0,280.0,303.0,375.0,222.0,249.0,A
364.0,280.0,303.0,376.0,221.0,249.0,A
363.0,279.0,302.0,376.0,221.0,248.0,A
363.0,279.0,302.0,376.0,222.0,247.0,A
363.0,279.0,302.0,375.0,222.0,248.0,A
363.0,279.0,301.0,376.0,221.0,248.0,A
363.0,279.0,302.0,374.0,223.0,247.0,A
363.0,279.0,302.0,374.0,222.0,249.0,A
363.0,278.0,303.0,374.0,220.0,247.0,A
363.0,279.0,301.0,376.0,221.0,246.0,A
364.0,279.0,300.0,375.0,221.0,245.0,A
364.0,279.0,301.0,375.0,221.0,246.0,A
364.0,278.0,301.0,374.0,221.0,246.0,A
363.0,278.0,302.0,375.0,222.0,247.0,A
363.0,278.0,301.0,374.0,221.0,246.0,A
363.0,278.0,300.0,374.0,222.0,246.0,A
363.0,280.0,301.0,375.0,222.0,246.0,A
363.0,280.0,300.0,375.0,222.0,248.0,A
362.0,279.0,302.0,376.0,221.0,249.0,A
363.0,280.0,303.0,376.0,221.0,247.0,A
363.0,279.0,302.0,376.0,222.0,247.0,A
363.0,281.0,301.0,374.0,221.0,248.0,A
363.0,280.0,301.0,375.0,221.0,249.0,A
362.0,280.0,301.0,376.0,221.0,249.0,A
363.0,281.0,301.0,375.0,222.0,251.0,A
362.0,280.0,300.0,375.0,222.0,250.0,A
362.0,281.0,302.0,374.0,221.0,251.0,A
362.0,286.0,298.0,375.0,222.0,248.0,A
362.0,286.0,298.0,376.0,222.0,248.0,A
363.0,285.0,298.0,376.0,221.0,248.0,A
364.0,287.0,298.0,376.0,221.0,249.0,A
364.0,286.0,298.0,375.0,222.0,248.0,A
364.0,286.0,297.0,374.0,222.0,246.0,A
362.0,286.0,298.0,374.0,221.0,248.0,A
362.0,285.0,299.0,374.0,221.0,247.0,A
361.0,286.0,299.0,374.0,220.0,249.0,A
361.0,286.0,299.0,373.0,220.0,248.0,A
361.0,286.0,299.0,373.0,220.0,247.0,A
361.0,285.0,301.0,374.0,221.0,247.0,A
361.0,286.0,301.0,374.0,221.0,247.0,A
361.0,285.0,299.0,374.0,220.0,247.0,A
362.0,286.0,300.0,375.0,221.0,248.0,A
362.0,285.0,299.0,375.0,222.0,248.0,A
362.0,285.0,300.0,375.0,221.0,249.0,A
362.0,285.0,299.0,376.0,222.0,246.0,A
362.0,285.0,298.0,375.0,221.0,248.0,A
362.0,284.0,298.0,375.0,222.0,246.0,A
363.0,285.0,296.0,375.0,223.0,246.0,A
363.0,285.0,298.0,376.0,223.0,247.0,A
362.0,284.0,297.0,376.0,222.0,247.0,A
363.0,285.0,296.0,375.0,222.0,247.0,A
363.0,285.0,297.0,375.0,222.0,247.0,A
363.0,285.0,297.0,376.0,222.0,246.0,A
363.0,286.0,298.0,375.0,223.0,247.0,A
363.0,285.0,298.0,375.0,222.0,246.0,A
363.0,284.0,297.0,375.0,223.0,247.0,A
363.0,285.0,299.0,376.0,223.0,247.0,A
363.0,284.0,298.0,375.0,222.0,247.0,A
362.0,284.0,298.0,377.0,222.0,247.0,A
363.0,284.0,299.0,376.0,223.0,247.0,A
363.0,284.0,297.0,376.0,223.0,247.0,A
363.0,284.0,297.0,375.0,222.0,246.0,A
363.0,284.0,299.0,375.0,223.0,247.0,A
364.0,284.0,298.0,375.0,222.0,247.0,A
364.0,284.0,298.0,375.0,223.0,247.0,A
363.0,284.0,299.0,376.0,223.0,248.0,A
363.0,284.0,297.0,375.0,223.0,246.0,A
362.0,285.0,298.0,375.0,223.0,246.0,A
363.0,285.0,297.0,376.0,223.0,247.0,A
363.0,284.0,299.0,375.0,222.0,246.0,A
363.0,284.0,298.0,375.0,222.0,247.0,A
362.0,284.0,298.0,375.0,222.0,246.0,A
363.0,284.0,299.0,375.0,222.0,247.0,A
363.0,284.0,298.0,376.0,222.0,246.0,A
362.0,285.0,297.0,376.0,222.0,246.0,A
363.0,284.0,298.0,376.0,221.0,247.0,A
363.0,284.0,299.0,376.0,222.0,247.0,A
363.0,285.0,298.0,375.0,222.0,247.0,A
362.0,285.0,300.0,375.0,223.0,247.0,A
363.0,285.0,299.0,375.0,222.0,246.0,A
363.0,284.0,298.0,375.0,222.0,247.0,A
362.0,284.0,298.0,375.0,223.0,248.0,A
363.0,284.0,298.0,375.0,223.0,247.0,A
363.0,285.0,298.0,376.0,222.0,248.0,A
363.0,285.0,299.0,375.0,222.0,247.0,A
363.0,284.0,298.0,375.0,222.0,247.0,A
363.0,285.0,299.0,376.0,222.0,248.0,A
363.0,284.0,299.0,375.0,223.0,246.0,A
363.0,285.0,298.0,375.0,222.0,246.0,A
362.0,284.0,297.0,376.0,222.0,246.0,A
363.0,284.0,297.0,375.0,222.0,246.0,A
363.0,284.0,299.0,375.0,222.0,246.0,A
363.0,284.0,298.0,375.0,222.0,246.0,A
